month,station,pH,ammonia,nitrate,inorganic_phosphate,dissolved_oxygen,fecal_coliforms,wqi,BOD
1,17,8.5,0.025,0.138,0.034,9.6,2400,97,6
2,1,8.5,0.025,0.53,0.021,8.2,2400,97,6
2,2,8.4,0.025,0.53,0.021,8.3,2400,97,6
2,4,8.2,0.025,0.53,0.021,8.7,2400,97,6
2,5,8.5,0.025,0.53,0.021,8.4,2400,97,6
2,8,8.3,0.025,0.53,0.021,8,2400,97,6
2,15,8.6,0.025,0.53,0.021,8.4,2400,97,6
2,16,8.6,0.025,0.53,0.021,8.2,2400,97,6
2,17,8.5,0.025,0.53,0.021,8.8,2400,97,6
2,18,8.4,0.025,0.53,0.021,8.6,2400,97,6
3,1,7.9,0.025,0.53,0.021,8.5,2400,97,6
3,2,8,0.025,0.53,0.021,7.5,2400,97,6
3,4,7.9,0.025,0.53,0.021,8.2,2400,97,6
3,5,7.9,0.025,0.53,0.021,7.7,2400,97,6
3,8,7.8,0.025,0.53,0.021,7.6,2400,97,6
3,15,8.3,0.025,0.53,0.021,8.5,2400,97,6
3,16,8.2,0.025,0.53,0.021,8.7,2400,97,6
3,17,8.2,0.025,0.53,0.021,8.4,2400,97,6
5,1,7.4,0.025,0.53,0.021,9.3,2400,97,6
5,2,7.6,0.025,0.53,0.021,8.8,2400,97,6
5,4,7.9,0.025,0.53,0.021,9.2,2400,97,6
5,5,7.9,0.025,0.53,0.021,11.5,2400,97,6
5,8,7.9,0.025,0.53,0.021,9.2,2400,97,6
5,15,7.7,0.025,0.53,0.021,9.2,2400,97,6
5,16,7.5,0.025,0.53,0.021,10.3,2400,97,6
5,17,7.8,0.025,0.53,0.021,9.5,2400,97,6
5,18,7.8,0.025,0.53,0.021,9,2400,97,6
6,1,8.8,0.025,0.53,0.021,9.8,2400,97,6
6,2,8.4,0.025,0.53,0.021,8.4,2400,97,6
6,4,8.7,0.025,0.53,0.021,7.9,2400,97,6
6,5,8.3,0.025,0.53,0.021,8.2,2400,97,6
6,8,8.4,0.025,0.53,0.021,9,2400,97,6
6,15,8.6,0.025,0.53,0.021,8.8,2400,97,6
6,16,8.2,0.025,0.53,0.021,8.8,2400,97,6
