month,station,pH,nitrate,inorganic_phosphate,BOD,dissolved_oxygen,fecal_coliforms,wqi,ammonia
1,17,8.5,0.138,0.034,6,9.6,2400,97,0.025
2,1,8.5,0.53,0.021,6,8.2,2400,97,0.025
2,2,8.4,0.53,0.021,6,8.3,2400,97,0.025
2,4,8.2,0.53,0.021,6,8.7,2400,97,0.025
2,5,8.5,0.53,0.021,6,8.4,2400,97,0.025
2,8,8.3,0.53,0.021,6,8,2400,97,0.025
2,15,8.6,0.53,0.021,6,8.4,2400,97,0.025
2,16,8.6,0.53,0.021,6,8.2,2400,97,0.025
2,17,8.5,0.53,0.021,6,8.8,2400,97,0.025
2,18,8.4,0.53,0.021,6,8.6,2400,97,0.025
3,1,7.9,0.53,0.021,6,8.5,2400,97,0.025
3,2,8,0.53,0.021,6,7.5,2400,97,0.025
3,4,7.9,0.53,0.021,6,8.2,2400,97,0.025
3,5,7.9,0.53,0.021,6,7.7,2400,97,0.025
3,8,7.8,0.53,0.021,6,7.6,2400,97,0.025
3,15,8.3,0.53,0.021,6,8.5,2400,97,0.025
3,16,8.2,0.53,0.021,6,8.7,2400,97,0.025
3,17,8.2,0.53,0.021,6,8.4,2400,97,0.025
5,1,7.4,0.53,0.021,6,9.3,2400,97,0.025
5,2,7.6,0.53,0.021,6,8.8,2400,97,0.025
5,4,7.9,0.53,0.021,6,9.2,2400,97,0.025
5,5,7.9,0.53,0.021,6,11.5,2400,97,0.025
5,8,7.9,0.53,0.021,6,9.2,2400,97,0.025
5,15,7.7,0.53,0.021,6,9.2,2400,97,0.025
5,16,7.5,0.53,0.021,6,10.3,2400,97,0.025
5,17,7.8,0.53,0.021,6,9.5,2400,97,0.025
5,18,7.8,0.53,0.021,6,9,2400,97,0.025
6,1,8.8,0.53,0.021,6,9.8,2400,97,0.025
6,2,8.4,0.53,0.021,6,8.4,2400,97,0.025
6,4,8.7,0.53,0.021,6,7.9,2400,97,0.025
6,5,8.3,0.53,0.021,6,8.2,2400,97,0.025
6,8,8.4,0.53,0.021,6,9,2400,97,0.025
6,15,8.6,0.53,0.021,6,8.8,2400,97,0.025
6,16,8.2,0.53,0.021,6,8.8,2400,97,0.025
6,17,8.4,0.53,0.021,6,8.9,2400,97,0.025
6,18,8.7,0.53,0.021,6,7.9,2400,97,0.025
7,1,8.4,1.51,0.021,6,7.6,2400,97,0.025
7,5,8.3,0.71,0.021,6,12.8,2400,97,0.025
7,17,8.5,0.53,0.016,7,10.2,2400,97,0.025
7,18,8.6,0.52,0.009,7,10.6,2400,97,0.025
8,2,8.3,0.388,0.009,7,7.2,2400,97,0.025
8,4,9,0.388,0.009,7,11.3,2400,97,0.025
9,1,8.5,0.388,0.009,7,5.8,2400,97,0.025
9,2,8.7,0.388,0.009,7,8.6,2400,97,0.025
9,4,8.4,0.388,0.009,7,7.1,2400,97,0.025
9,5,7.8,0.388,0.009,7,6.9,2400,97,0.025
9,15,8.6,0.388,0.009,7,9.6,2400,97,0.025
9,17,7.8,0.388,0.009,7,8,2400,97,0.025
9,18,8.8,0.388,0.009,7,8.6,2400,97,0.025
10,1,8.4,0.388,0.009,2,7.6,2400,97,0.025
10,2,8,0.388,0.009,2,6.1,2400,97,0.025
10,4,8.2,0.388,0.009,3,7.4,2400,97,0.025
10,5,7.6,0.388,0.009,4,5.3,2400,97,0.025
10,8,8.1,0.388,0.009,2,7.6,2400,97,0.025
10,15,8,0.388,0.009,3,7,2400,97,0.025
10,16,8.7,0.388,0.009,3,8.3,2400,97,0.025
10,17,8.2,0.388,0.009,3,7.7,2400,97,0.025
10,18,7.9,0.388,0.009,4,7,2400,97,0.025
11,5,7.8,0.388,0.017,2,6.5,2400,97,0.025
12,5,8.5,0.203,0.066,3,8.5,2400,97,0.025
1,1,7.3,0.203,0.005,2,7.5,2400,97,0.025
1,2,8.2,0.203,0.005,1,7.2,2400,97,0.025
1,4,7.8,0.203,0.005,2,7.2,1600,97,0.025
1,8,7.7,0.203,0.005,1,6.8,2400,97,0.025
1,15,8.3,0.203,0.005,2,8.7,2400,97,0.025
1,16,8.8,0.203,0.005,2,8.4,2400,97,0.025
1,17,7.9,0.203,0.005,2,7.7,2400,97,0.025
1,18,8,0.203,0.005,1,7.6,3500,97,0.025
8,17,8.9,0.037,0.005,2,7.3,3500,97,0.025
8,18,8.9,0.041,0.001,3,6.7,3500,97,0.256
10,18,9,0.036,0.021,1,9.3,3500,97,0.1
3,18,8.3,0.001,0.023,2,9.4,3500,97,0.25
10,18,8,0.001,0.036,3,8.5,3500,97,0.03
11,18,8.1,0.06,0.02,1,8.5,3500,97,0.021
1,1,8.5,0.159,0.115,6,8.6,410,75,0.057
1,2,8.3,0.166,0.114,6,7.9,410,75,0.057
1,4,8.4,0.181,0.08,6,8.3,410,75,0.057
1,5,8.6,0.179,0.096,6,8.9,410,75,0.057
1,8,8.3,0.192,0.096,6,8.2,410,75,0.057
1,15,8.6,0.153,0.118,6,8.7,410,75,0.057
1,16,8.6,0.164,0.097,6,9.4,410,75,0.057
1,18,8.4,0.167,0.102,6,8.7,410,75,0.057
4,4,7.8,2.054,0.18,6,7.1,410,75,0.057
4,8,7.9,1.385,0.12,7,8.1,410,75,0.057
7,4,9.3,0.37,0.088,7,11.7,410,75,0.057
7,15,8.3,0.73,0.055,8,8.6,410,75,0.057
11,1,7.9,1.066,0.157,2,6.8,410,75,0.057
11,4,7.8,0.784,0.144,2,6.7,410,75,0.057
11,15,7.8,0.539,0.127,2,6.5,410,75,0.057
11,17,7.8,0.474,0.123,2,7,410,75,0.057
12,1,8.4,0.466,0.068,2,8.5,410,75,0.057
12,4,8.4,0.457,0.084,3,7.2,410,75,0.057
12,15,8.5,0.293,0.069,3,7.8,410,75,0.057
12,17,8.8,0.366,0.042,2,7.7,410,75,0.057
2,2,8,0.357,0.059,2,7.9,410,75,0.057
2,16,8.2,0.285,0.04,2,8.3,639,75,0.008
2,18,8.1,0.283,0.056,2,8.3,401,75,0.024
3,1,8,0.308,0.021,1,7.6,678,75,0.045
3,2,8.3,0.176,0.004,1,8.4,333,75,0.264
3,4,8.1,0.355,0.006,1,8.3,457,75,0.019
3,5,8,0.103,0.004,1,7.6,357,75,0.133
3,8,7.8,0.204,0.001,1,8,672,75,0.22
3,15,8.1,0.352,0.03,1,7.6,485,75,0.169
4,1,6.7,0.065,0.125,1,8.6,144,75,0.152
4,4,8.7,0.039,0.104,1,8.6,125,75,0.129
4,5,8.9,0.087,0.102,1,7.5,125,75,0.083
4,15,8.3,0.128,0.103,2,8.6,201,75,0.088
4,16,8.3,0.102,0.087,1,8.1,165,75,0.081
4,17,8.6,0.088,0.089,1,8.3,294,75,0.058
5,1,8.3,0.001,0.147,1,6.4,144,75,0.236
5,4,8.3,0.002,0.103,1,6.8,117,75,0.05
5,5,8.2,0.059,0.164,2,7.1,102,75,0.349
5,15,8.2,0.019,0.069,3,6.9,185,75,0.074
5,16,8.3,0.036,0.067,2,7.7,107,75,0.054
6,15,8.9,0.77,0.12,3,7.6,208,75,0.067
6,17,9.3,0.372,0.073,3,8.9,35,75,0.047
6,18,9.4,0.798,0.12,4,9.1,26,75,0.031
7,1,8.8,0.068,0.134,2,7.3,185,75,0.025
7,5,8.9,0.11,0.048,2,6.3,793,75,0.067
7,16,8.7,0.001,0.074,2,7.5,136,75,0.039
8,2,8.9,0.271,0.001,2,6.8,665,75,0.181
8,15,8.9,0.301,0.008,2,6.5,418,75,0.07
9,2,9,0.022,0.011,2,9,754,75,0.048
9,15,8.7,0.069,0.072,3,8.7,418,75,0.001
9,17,9.4,0.028,0.061,3,12.1,82,75,0.005
9,18,9.4,0.031,0.007,2,9.4,194,75,0.013
10,2,9.2,0.035,0.016,3,10,213,75,0.045
10,5,7.8,0.463,0.133,4,6.3,478,75,0.236
10,8,8.7,0.034,0.066,1,8.5,309,75,0.008
10,16,7.7,0.055,0.121,1,5.8,211,75,0.22
10,17,8.8,0.091,0.074,1,7.6,101,75,0.093
11,2,8.8,0.255,0.051,1,7.2,153,75,0.32
11,4,8.8,0.545,0.251,1,7.4,26,75,0.052
12,4,8.4,0.001,0.165,1,7.7,21,75,0.063
12,15,9,0.028,0.111,3,9.6,141,75,0.082
12,16,8.5,0.014,0.075,4,8.5,268,75,0.047
1,2,8,0.343,0.084,1,7.7,116,75,0.001
1,16,8.4,0.001,0.088,1,7.7,102,75,0.001
2,2,7.9,0.44,0.173,2,7.6,110,75,0.572
2,4,7.9,1.412,0.161,1,7.3,63,75,0.091
2,5,8.4,2.631,0.163,0.5,9,214,75,0.074
2,8,7.9,1.88,0.115,0.5,7.6,193,75,0.065
2,16,7.9,2.136,0.165,1,7.8,90,75,0.001
2,18,7.9,0.54,0.16,1,7.8,73,75,0.033
3,4,8,0.372,0.088,2,8.4,166,75,0.033
3,5,7.9,0.373,0.098,2,9,214,75,0.046
3,8,8.2,0.24,0.076,1,9.1,344,75,0.024
3,15,8.1,0.205,0.079,2,9.1,210,75,0.023
