month,station,pH,ammonia,nitrate,inorganic_phosphate,BOD,fecal_coliforms,wqi,dissolved_oxygen
1,17,8.5,0.025,0.138,0.034,6,2400,97,9.6
2,1,8.5,0.025,0.53,0.021,6,2400,97,8.2
2,2,8.4,0.025,0.53,0.021,6,2400,97,8.3
2,4,8.2,0.025,0.53,0.021,6,2400,97,8.7
2,5,8.5,0.025,0.53,0.021,6,2400,97,8.4
2,8,8.3,0.025,0.53,0.021,6,2400,97,8
2,15,8.6,0.025,0.53,0.021,6,2400,97,8.4
2,16,8.6,0.025,0.53,0.021,6,2400,97,8.2
2,17,8.5,0.025,0.53,0.021,6,2400,97,8.8
2,18,8.4,0.025,0.53,0.021,6,2400,97,8.6
3,1,7.9,0.025,0.53,0.021,6,2400,97,8.5
3,2,8,0.025,0.53,0.021,6,2400,97,7.5
3,4,7.9,0.025,0.53,0.021,6,2400,97,8.2
3,5,7.9,0.025,0.53,0.021,6,2400,97,7.7
3,8,7.8,0.025,0.53,0.021,6,2400,97,7.6
3,15,8.3,0.025,0.53,0.021,6,2400,97,8.5
3,16,8.2,0.025,0.53,0.021,6,2400,97,8.7
3,17,8.2,0.025,0.53,0.021,6,2400,97,8.4
5,1,7.4,0.025,0.53,0.021,6,2400,97,9.3
5,2,7.6,0.025,0.53,0.021,6,2400,97,8.8
5,4,7.9,0.025,0.53,0.021,6,2400,97,9.2
5,5,7.9,0.025,0.53,0.021,6,2400,97,11.5
5,8,7.9,0.025,0.53,0.021,6,2400,97,9.2
5,15,7.7,0.025,0.53,0.021,6,2400,97,9.2
5,16,7.5,0.025,0.53,0.021,6,2400,97,10.3
5,17,7.8,0.025,0.53,0.021,6,2400,97,9.5
5,18,7.8,0.025,0.53,0.021,6,2400,97,9
6,1,8.8,0.025,0.53,0.021,6,2400,97,9.8
6,2,8.4,0.025,0.53,0.021,6,2400,97,8.4
6,4,8.7,0.025,0.53,0.021,6,2400,97,7.9
6,5,8.3,0.025,0.53,0.021,6,2400,97,8.2
6,8,8.4,0.025,0.53,0.021,6,2400,97,9
6,15,8.6,0.025,0.53,0.021,6,2400,97,8.8
6,16,8.2,0.025,0.53,0.021,6,2400,97,8.8
6,17,8.4,0.025,0.53,0.021,6,2400,97,8.9
6,18,8.7,0.025,0.53,0.021,6,2400,97,7.9
7,1,8.4,0.025,1.51,0.021,6,2400,97,7.6
7,5,8.3,0.025,0.71,0.021,6,2400,97,12.8
7,17,8.5,0.025,0.53,0.016,7,2400,97,10.2
7,18,8.6,0.025,0.52,0.009,7,2400,97,10.6
8,2,8.3,0.025,0.388,0.009,7,2400,97,7.2
8,4,9,0.025,0.388,0.009,7,2400,97,11.3
9,1,8.5,0.025,0.388,0.009,7,2400,97,5.8
9,2,8.7,0.025,0.388,0.009,7,2400,97,8.6
9,4,8.4,0.025,0.388,0.009,7,2400,97,7.1
9,5,7.8,0.025,0.388,0.009,7,2400,97,6.9
9,15,8.6,0.025,0.388,0.009,7,2400,97,9.6
9,17,7.8,0.025,0.388,0.009,7,2400,97,8
9,18,8.8,0.025,0.388,0.009,7,2400,97,8.6
10,1,8.4,0.025,0.388,0.009,2,2400,97,7.6
10,2,8,0.025,0.388,0.009,2,2400,97,6.1
10,4,8.2,0.025,0.388,0.009,3,2400,97,7.4
10,5,7.6,0.025,0.388,0.009,4,2400,97,5.3
10,8,8.1,0.025,0.388,0.009,2,2400,97,7.6
10,15,8,0.025,0.388,0.009,3,2400,97,7
10,16,8.7,0.025,0.388,0.009,3,2400,97,8.3
10,17,8.2,0.025,0.388,0.009,3,2400,97,7.7
10,18,7.9,0.025,0.388,0.009,4,2400,97,7
11,5,7.8,0.025,0.388,0.017,2,2400,97,6.5
12,5,8.5,0.025,0.203,0.066,3,2400,97,8.5
1,1,7.3,0.025,0.203,0.005,2,2400,97,7.5
1,2,8.2,0.025,0.203,0.005,1,2400,97,7.2
1,4,7.8,0.025,0.203,0.005,2,1600,97,7.2
1,8,7.7,0.025,0.203,0.005,1,2400,97,6.8
1,15,8.3,0.025,0.203,0.005,2,2400,97,8.7
1,16,8.8,0.025,0.203,0.005,2,2400,97,8.4
1,17,7.9,0.025,0.203,0.005,2,2400,97,7.7
1,18,8,0.025,0.203,0.005,1,3500,97,7.6
8,17,8.9,0.025,0.037,0.005,2,3500,97,7.3
8,18,8.9,0.256,0.041,0.001,3,3500,97,6.7
10,18,9,0.1,0.036,0.021,1,3500,97,9.3
3,18,8.3,0.25,0.001,0.023,2,3500,97,9.4
10,18,8,0.03,0.001,0.036,3,3500,97,8.5
11,18,8.1,0.021,0.06,0.02,1,3500,97,8.5
1,1,8.5,0.057,0.159,0.115,6,410,75,8.6
1,2,8.3,0.057,0.166,0.114,6,410,75,7.9
1,4,8.4,0.057,0.181,0.08,6,410,75,8.3
1,5,8.6,0.057,0.179,0.096,6,410,75,8.9
1,8,8.3,0.057,0.192,0.096,6,410,75,8.2
1,15,8.6,0.057,0.153,0.118,6,410,75,8.7
1,16,8.6,0.057,0.164,0.097,6,410,75,9.4
1,18,8.4,0.057,0.167,0.102,6,410,75,8.7
4,4,7.8,0.057,2.054,0.18,6,410,75,7.1
4,8,7.9,0.057,1.385,0.12,7,410,75,8.1
7,4,9.3,0.057,0.37,0.088,7,410,75,11.7
7,15,8.3,0.057,0.73,0.055,8,410,75,8.6
11,1,7.9,0.057,1.066,0.157,2,410,75,6.8
11,4,7.8,0.057,0.784,0.144,2,410,75,6.7
11,15,7.8,0.057,0.539,0.127,2,410,75,6.5
11,17,7.8,0.057,0.474,0.123,2,410,75,7
12,1,8.4,0.057,0.466,0.068,2,410,75,8.5
12,4,8.4,0.057,0.457,0.084,3,410,75,7.2
12,15,8.5,0.057,0.293,0.069,3,410,75,7.8
12,17,8.8,0.057,0.366,0.042,2,410,75,7.7
2,2,8,0.057,0.357,0.059,2,410,75,7.9
2,16,8.2,0.008,0.285,0.04,2,639,75,8.3
2,18,8.1,0.024,0.283,0.056,2,401,75,8.3
3,1,8,0.045,0.308,0.021,1,678,75,7.6
3,2,8.3,0.264,0.176,0.004,1,333,75,8.4
3,4,8.1,0.019,0.355,0.006,1,457,75,8.3
3,5,8,0.133,0.103,0.004,1,357,75,7.6
3,8,7.8,0.22,0.204,0.001,1,672,75,8
3,15,8.1,0.169,0.352,0.03,1,485,75,7.6
4,1,6.7,0.152,0.065,0.125,1,144,75,8.6
4,4,8.7,0.129,0.039,0.104,1,125,75,8.6
4,5,8.9,0.083,0.087,0.102,1,125,75,7.5
4,15,8.3,0.088,0.128,0.103,2,201,75,8.6
4,16,8.3,0.081,0.102,0.087,1,165,75,8.1
4,17,8.6,0.058,0.088,0.089,1,294,75,8.3
5,1,8.3,0.236,0.001,0.147,1,144,75,6.4
5,4,8.3,0.05,0.002,0.103,1,117,75,6.8
5,5,8.2,0.349,0.059,0.164,2,102,75,7.1
5,15,8.2,0.074,0.019,0.069,3,185,75,6.9
5,16,8.3,0.054,0.036,0.067,2,107,75,7.7
6,15,8.9,0.067,0.77,0.12,3,208,75,7.6
6,17,9.3,0.047,0.372,0.073,3,35,75,8.9
6,18,9.4,0.031,0.798,0.12,4,26,75,9.1
7,1,8.8,0.025,0.068,0.134,2,185,75,7.3
7,5,8.9,0.067,0.11,0.048,2,793,75,6.3
7,16,8.7,0.039,0.001,0.074,2,136,75,7.5
8,2,8.9,0.181,0.271,0.001,2,665,75,6.8
8,15,8.9,0.07,0.301,0.008,2,418,75,6.5
9,2,9,0.048,0.022,0.011,2,754,75,9
9,15,8.7,0.001,0.069,0.072,3,418,75,8.7
9,17,9.4,0.005,0.028,0.061,3,82,75,12.1
9,18,9.4,0.013,0.031,0.007,2,194,75,9.4
10,2,9.2,0.045,0.035,0.016,3,213,75,10
10,5,7.8,0.236,0.463,0.133,4,478,75,6.3
10,8,8.7,0.008,0.034,0.066,1,309,75,8.5
10,16,7.7,0.22,0.055,0.121,1,211,75,5.8
10,17,8.8,0.093,0.091,0.074,1,101,75,7.6
11,2,8.8,0.32,0.255,0.051,1,153,75,7.2
11,4,8.8,0.052,0.545,0.251,1,26,75,7.4
12,4,8.4,0.063,0.001,0.165,1,21,75,7.7
12,15,9,0.082,0.028,0.111,3,141,75,9.6
12,16,8.5,0.047,0.014,0.075,4,268,75,8.5
1,2,8,0.001,0.343,0.084,1,116,75,7.7
1,16,8.4,0.001,0.001,0.088,1,102,75,7.7
2,2,7.9,0.572,0.44,0.173,2,110,75,7.6
2,4,7.9,0.091,1.412,0.161,1,63,75,7.3
2,5,8.4,0.074,2.631,0.163,0.5,214,75,9
2,8,7.9,0.065,1.88,0.115,0.5,193,75,7.6
2,16,7.9,0.001,2.136,0.165,1,90,75,7.8
2,18,7.9,0.033,0.54,0.16,1,73,75,7.8
3,4,8,0.033,0.372,0.088,2,166,75,8.4
3,5,7.9,0.046,0.373,0.098,2,214,75,9
3,8,8.2,0.024,0.24,0.076,1,344,75,9.1
3,15,8.1,0.023,0.205,0.079,2,210,75,9.1
3,16,8.5,0.034,0.285,0.066,1,159,75,9.6
3,17,8.3,0.023,0.221,0.072,2,188,75,8.5
4,4,7.8,0.03,0.144,0.143,3,240,75,6.9
4,5,7.9,0.048,0.154,0.174,3,214,75,9.3
5,2,6.3,0.008,0.001,0.062,2,1060,75,7.7
5,4,8.7,0.026,0.001,0.067,3,314,75,8.4
5,15,8.3,0.022,0.013,0.02,3,426,75,7.9
5,16,8,0.043,0.001,0.078,2,306,75,7
5,18,8.3,0.019,0.001,0.071,3,426,75,8.4
6,15,8.3,0.025,0.001,0.151,3,259,75,8.7
6,16,8.4,0.003,0.001,0.143,2,217,75,9
6,17,8.5,0.001,0.001,0.132,2,303,75,10.2
7,1,8.2,0.058,0.031,0.11,2,163,75,8.7
7,8,8.1,0.047,0.015,0.05,2,482,75,8.1
8,1,8.6,0.099,0.018,0.076,3,163,75,9.4
8,2,8.6,0.089,0.184,0.105,3,271,75,9.6
8,8,9,0.026,0.001,0.103,4,256,75,11.6
8,15,8.7,0.023,0.026,0.107,2,354,75,9.6
8,16,8.5,0.031,0.001,0.089,2,298,75,9.4
8,18,9.6,0.021,0.02,0.035,4,172,75,9.9
9,5,7.9,0.039,0.001,0.241,3,1913,75,7.7
10,4,8,0.022,0.212,0.178,2,166,75,7.6
10,5,8.4,0.032,0.231,0.218,5,1655,75,9.1
10,15,7.7,0.043,0.217,0.18,4,96,75,5.6
10,17,8.2,0.031,0.001,0.131,7,240,75,7.8
11,2,7.9,0.059,0.137,0.031,1,368,75,8.4
11,4,7.7,0.045,0.453,0.167,2,166,75,7.6
11,5,7.6,0.045,0.451,0.194,3,1263,75,9.1
11,8,8.1,0.038,0.216,0.1,2,159,75,10.8
11,15,7.7,0.036,0.334,0.111,2,111,75,5.6
11,17,7.9,0.028,0.264,0.107,1,240,75,7.8
12,1,7.8,0.022,0.263,0.147,2,196,75,6.6
12,8,8.1,0.001,0.205,0.119,2,140,75,7.8
12,15,7.7,0.007,0.046,0.096,0.5,242,75,6.2
12,16,8.2,0.004,0.153,0.119,1,240,75,7.5
12,17,7.9,0.023,0.062,0.104,2,166,75,7.4
7,2,8.7,0.051,0.65,0.084,7,1138,89,9.8
7,8,8.6,0.051,1.35,0.105,7,1138,89,11.1
7,16,8.7,0.051,0.67,0.001,8,1138,89,11
11,2,8,0.051,0.409,0.091,2,1138,89,7.2
11,8,7.9,0.051,0.534,0.079,2,1138,89,6.8
11,16,7.8,0.051,0.513,0.09,3,1138,89,7.2
11,18,7.7,0.051,0.47,0.107,1,1138,89,7.1
12,2,9.6,0.051,0.035,0.047,3,1138,89,8.1
12,8,8.5,0.051,0.041,0.175,2,1138,89,7
12,16,8.4,0.051,0.544,0.264,2,1138,89,6.3
12,18,8.5,0.051,0.31,0.055,3,1138,89,8
2,1,8.4,0.051,0.331,0.057,1,1138,89,8.9
2,17,8.3,0.014,0.45,0.052,1,1486,89,8
3,16,8.2,0.027,0.559,0.003,1,271,89,8.1
3,18,7.8,0.01,0.004,0.007,1,301,89,8.5
4,18,8.7,0.068,0.096,0.031,1,110,89,8.5
5,17,8.1,0.079,0.051,0.066,2,86,89,7.5
5,18,9.4,0.056,0.004,0.004,4,51,89,10
6,16,9,0.042,0.165,0.087,2,83,89,7.7
7,17,8.8,0.028,0.001,0.134,2,41,89,7.8
7,18,9.6,0.001,0.038,0.001,3,38,89,9.4
8,4,8.6,0.183,0.142,0.014,2,121,89,7.3
8,16,8.8,0.033,0.001,0.009,7,211,89,7.4
9,4,9.6,0.073,0.058,0.039,3,49,89,13.5
9,8,9,0.001,0.109,0.045,2,272,89,8.8
9,16,9,0.011,0.037,0.036,4,211,89,10.2
10,4,8.9,0.034,0.046,0.07,2,49,89,8.9
11,1,8.9,0.065,0.131,0.031,2,197,89,7.8
12,1,7.9,0.105,0.121,0.149,1,37,89,6.5
12,2,7.9,0.11,0.141,0.122,2,51,89,7.6
12,17,8.8,0.045,0.089,0.013,2,110,89,7.7
12,18,8.4,0.055,0.248,0.113,1,57,89,7.6
1,1,8.4,0.001,0.223,0.087,1,60,89,7.9
1,4,8.3,0.001,0.149,0.072,1,32,89,8.1
1,8,8,0.001,0.335,0.101,1,90,89,7.6
1,15,8.6,0.001,0.379,0.108,1,96,89,8.2
1,17,8.7,0.001,0.19,0.057,3,76,89,9.6
1,18,7.8,0.001,0.393,0.066,1,73,89,7.7
2,15,8.4,0.034,0.509,0.131,2,85,89,8.8
2,17,8.1,0.04,2.592,0.145,1,86,89,7.7
3,2,8.4,0.1,0.197,0.049,2,290,89,9.4
9,18,8.4,0.005,0.003,0.041,2,172,89,9.7
10,2,8.3,0.037,0.06,0.008,2,256,89,8.4
12,2,7.9,0.016,0.032,0.022,2,190,89,8.6
12,18,8.1,0.008,0.006,0.026,2,101,89,8.8
4,1,7.7,0.036,1.896,0.2,8,540,60,8.1
4,2,7.8,0.036,1.103,0.14,9,540,60,8
4,5,7.8,0.036,2.012,0.28,10,540,60,7.4
4,15,8,0.036,0.522,0.16,9,540,60,8.2
4,16,8,0.036,0.892,0.16,10,540,60,7.1
4,17,8,0.036,1.244,0.16,11,540,60,7.8
4,18,7.9,0.036,0.469,0.15,10,540,60,8.4
8,1,9.3,0.036,0.469,0.15,10,540,60,12.2
8,5,9.7,0.036,0.469,0.15,10,540,60,18.3
8,8,8.5,0.036,0.469,0.15,10,540,60,8.3
8,15,8.5,0.036,0.469,0.15,2,540,60,11.6
8,16,8.8,0.036,0.469,0.15,2,540,60,9.9
8,17,8.5,0.036,0.469,0.063,2,540,60,9.7
8,18,8.3,0.036,0.469,0.063,2,540,60,9.1
9,8,9.1,0.036,0.469,0.063,2,540,60,9
9,16,9.3,0.036,0.469,0.063,2,540,60,9.2
1,5,8.7,0.036,0.469,0.063,2,540,60,9.1
2,4,7.8,0.036,0.335,0.063,1,522,60,7.8
2,5,8,0.018,0.715,0.135,2,360,60,7.5
2,8,8,0.006,0.375,0.098,1,435,60,7.5
2,15,8,0.027,0.538,0.067,1,820,60,7.8
3,17,8.1,0.072,0.192,0.016,1,918,60,7.9
4,2,8.5,0.085,0.046,0.071,1,627,60,8.3
4,8,8.5,0.094,0.018,0.084,1,488,60,8.3
5,2,8.7,0.081,0.009,0.037,3,945,60,8.4
5,8,8.3,0.055,0.001,0.077,1,707,60,7.9
6,1,9.4,0.063,0.065,0.108,8,85,60,14.4
6,4,9.6,0.051,0.051,0.149,3,117,60,9.5
6,5,9,0.336,0.069,0.19,3,363,60,9.5
6,8,9.4,0.054,0.684,0.095,3,809,60,8.9
7,2,9.5,0.015,0.574,0.179,1,586,60,9.7
7,4,9.8,0.034,0.031,0.147,6,104,60,15.9
7,8,9,0.031,0.001,0.143,1,517,60,8.1
7,15,8.1,0.073,0.001,0.176,2,786,60,4
8,1,8.1,0.313,0.382,0.235,3,126,60,5.5
8,5,8.5,0.12,0.313,0.306,2,945,60,6.6
8,8,9.1,0.069,0.028,0.001,2,586,60,7.6
9,1,7.8,0.076,0.728,0.134,3,335,60,7.3
9,5,8,0.029,1.084,0.145,2,305,60,7.8
10,1,7.9,0.055,0.796,0.185,2,231,60,7.3
10,15,7.6,0.181,0.035,0.089,1,140,60,5.9
11,5,7.6,0.045,0.038,0.258,2,558,60,7.5
11,8,7.6,0.032,0.308,0.258,2,272,60,8.1
11,15,7.6,0.156,0.184,0.208,3,309,60,6.8
11,16,8.4,0.002,0.14,0.168,2,268,60,9.8
11,17,8.4,0.045,0.127,0.244,2,196,60,7.9
11,18,8.4,0.049,0.314,0.222,1,110,60,6.6
12,5,8.4,0.13,0.039,0.181,2,426,60,6.8
12,8,9.3,0.053,0.238,0.116,1,125,60,7.2
1,5,8.1,0.001,0.344,0.181,1,272,60,8.5
2,1,8,0.16,0.405,0.238,1,163,60,7.6
3,1,7.9,0.009,0.267,0.069,2,512,60,8.9
4,1,7.7,0.111,0.413,0.371,3,973,60,6.3
4,2,7.8,0.038,0.021,0.156,3,624,60,7.2
4,8,7.8,0.048,0.034,0.253,2,552,60,7.1
4,15,7.8,0.062,0.09,0.265,3,272,60,6.9
4,16,7.8,0.047,0.094,0.236,2,196,60,6.9
4,17,7.9,0.051,0.004,0.169,2,272,60,7
4,18,7.8,0.073,0.016,0.29,3,151,60,7.4
5,1,8.3,0.143,0.001,0.289,2,586,60,7.3
5,5,7.6,0.404,0.162,0.427,6,586,60,5.5
5,8,8,0.041,0.001,0.096,3,482,60,7.5
5,17,8.2,0.016,0.001,0.098,4,586,60,7.6
6,1,8.6,0.23,0.224,0.31,4,268,60,8.7
6,2,8.2,0.02,0.001,0.165,2,485,60,7.1
