month,station,pH,ammonia,nitrate,inorganic_phosphate,BOD,dissolved_oxygen,wqi,fecal_coliforms
1,17,8.5,0.025,0.138,0.034,6,9.6,97,2400
2,1,8.5,0.025,0.53,0.021,6,8.2,97,2400
2,2,8.4,0.025,0.53,0.021,6,8.3,97,2400
2,4,8.2,0.025,0.53,0.021,6,8.7,97,2400
2,5,8.5,0.025,0.53,0.021,6,8.4,97,2400
2,8,8.3,0.025,0.53,0.021,6,8,97,2400
2,15,8.6,0.025,0.53,0.021,6,8.4,97,2400
2,16,8.6,0.025,0.53,0.021,6,8.2,97,2400
2,17,8.5,0.025,0.53,0.021,6,8.8,97,2400
2,18,8.4,0.025,0.53,0.021,6,8.6,97,2400
3,1,7.9,0.025,0.53,0.021,6,8.5,97,2400
3,2,8,0.025,0.53,0.021,6,7.5,97,2400
3,4,7.9,0.025,0.53,0.021,6,8.2,97,2400
3,5,7.9,0.025,0.53,0.021,6,7.7,97,2400
3,8,7.8,0.025,0.53,0.021,6,7.6,97,2400
3,15,8.3,0.025,0.53,0.021,6,8.5,97,2400
3,16,8.2,0.025,0.53,0.021,6,8.7,97,2400
3,17,8.2,0.025,0.53,0.021,6,8.4,97,2400
5,1,7.4,0.025,0.53,0.021,6,9.3,97,2400
5,2,7.6,0.025,0.53,0.021,6,8.8,97,2400
5,4,7.9,0.025,0.53,0.021,6,9.2,97,2400
5,5,7.9,0.025,0.53,0.021,6,11.5,97,2400
5,8,7.9,0.025,0.53,0.021,6,9.2,97,2400
5,15,7.7,0.025,0.53,0.021,6,9.2,97,2400
5,16,7.5,0.025,0.53,0.021,6,10.3,97,2400
5,17,7.8,0.025,0.53,0.021,6,9.5,97,2400
5,18,7.8,0.025,0.53,0.021,6,9,97,2400
6,1,8.8,0.025,0.53,0.021,6,9.8,97,2400
6,2,8.4,0.025,0.53,0.021,6,8.4,97,2400
6,4,8.7,0.025,0.53,0.021,6,7.9,97,2400
6,5,8.3,0.025,0.53,0.021,6,8.2,97,2400
6,8,8.4,0.025,0.53,0.021,6,9,97,2400
6,15,8.6,0.025,0.53,0.021,6,8.8,97,2400
6,16,8.2,0.025,0.53,0.021,6,8.8,97,2400
6,17,8.4,0.025,0.53,0.021,6,8.9,97,2400
6,18,8.7,0.025,0.53,0.021,6,7.9,97,2400
7,1,8.4,0.025,1.51,0.021,6,7.6,97,2400
7,5,8.3,0.025,0.71,0.021,6,12.8,97,2400
7,17,8.5,0.025,0.53,0.016,7,10.2,97,2400
7,18,8.6,0.025,0.52,0.009,7,10.6,97,2400
8,2,8.3,0.025,0.388,0.009,7,7.2,97,2400
8,4,9,0.025,0.388,0.009,7,11.3,97,2400
9,1,8.5,0.025,0.388,0.009,7,5.8,97,2400
9,2,8.7,0.025,0.388,0.009,7,8.6,97,2400
9,4,8.4,0.025,0.388,0.009,7,7.1,97,2400
9,5,7.8,0.025,0.388,0.009,7,6.9,97,2400
9,15,8.6,0.025,0.388,0.009,7,9.6,97,2400
9,17,7.8,0.025,0.388,0.009,7,8,97,2400
9,18,8.8,0.025,0.388,0.009,7,8.6,97,2400
10,1,8.4,0.025,0.388,0.009,2,7.6,97,2400
10,2,8,0.025,0.388,0.009,2,6.1,97,2400
10,4,8.2,0.025,0.388,0.009,3,7.4,97,2400
10,5,7.6,0.025,0.388,0.009,4,5.3,97,2400
10,8,8.1,0.025,0.388,0.009,2,7.6,97,2400
10,15,8,0.025,0.388,0.009,3,7,97,2400
10,16,8.7,0.025,0.388,0.009,3,8.3,97,2400
10,17,8.2,0.025,0.388,0.009,3,7.7,97,2400
10,18,7.9,0.025,0.388,0.009,4,7,97,2400
11,5,7.8,0.025,0.388,0.017,2,6.5,97,2400
12,5,8.5,0.025,0.203,0.066,3,8.5,97,2400
1,1,7.3,0.025,0.203,0.005,2,7.5,97,2400
1,2,8.2,0.025,0.203,0.005,1,7.2,97,2400
1,4,7.8,0.025,0.203,0.005,2,7.2,97,1600
1,8,7.7,0.025,0.203,0.005,1,6.8,97,2400
1,15,8.3,0.025,0.203,0.005,2,8.7,97,2400
1,16,8.8,0.025,0.203,0.005,2,8.4,97,2400
1,17,7.9,0.025,0.203,0.005,2,7.7,97,2400
1,18,8,0.025,0.203,0.005,1,7.6,97,3500
8,17,8.9,0.025,0.037,0.005,2,7.3,97,3500
8,18,8.9,0.256,0.041,0.001,3,6.7,97,3500
10,18,9,0.1,0.036,0.021,1,9.3,97,3500
3,18,8.3,0.25,0.001,0.023,2,9.4,97,3500
10,18,8,0.03,0.001,0.036,3,8.5,97,3500
11,18,8.1,0.021,0.06,0.02,1,8.5,97,3500
1,1,8.5,0.057,0.159,0.115,6,8.6,75,410
1,2,8.3,0.057,0.166,0.114,6,7.9,75,410
