month,station,pH,ammonia,nitrate,BOD,dissolved_oxygen,fecal_coliforms,wqi,inorganic_phosphate
1,17,8.5,0.025,0.138,6,9.6,2400,97,0.034
2,1,8.5,0.025,0.53,6,8.2,2400,97,0.021
2,2,8.4,0.025,0.53,6,8.3,2400,97,0.021
2,4,8.2,0.025,0.53,6,8.7,2400,97,0.021
2,5,8.5,0.025,0.53,6,8.4,2400,97,0.021
2,8,8.3,0.025,0.53,6,8,2400,97,0.021
2,15,8.6,0.025,0.53,6,8.4,2400,97,0.021
2,16,8.6,0.025,0.53,6,8.2,2400,97,0.021
2,17,8.5,0.025,0.53,6,8.8,2400,97,0.021
2,18,8.4,0.025,0.53,6,8.6,2400,97,0.021
3,1,7.9,0.025,0.53,6,8.5,2400,97,0.021
3,2,8,0.025,0.53,6,7.5,2400,97,0.021
3,4,7.9,0.025,0.53,6,8.2,2400,97,0.021
3,5,7.9,0.025,0.53,6,7.7,2400,97,0.021
3,8,7.8,0.025,0.53,6,7.6,2400,97,0.021
3,15,8.3,0.025,0.53,6,8.5,2400,97,0.021
3,16,8.2,0.025,0.53,6,8.7,2400,97,0.021
3,17,8.2,0.025,0.53,6,8.4,2400,97,0.021
5,1,7.4,0.025,0.53,6,9.3,2400,97,0.021
5,2,7.6,0.025,0.53,6,8.8,2400,97,0.021
5,4,7.9,0.025,0.53,6,9.2,2400,97,0.021
5,5,7.9,0.025,0.53,6,11.5,2400,97,0.021
5,8,7.9,0.025,0.53,6,9.2,2400,97,0.021
5,15,7.7,0.025,0.53,6,9.2,2400,97,0.021
5,16,7.5,0.025,0.53,6,10.3,2400,97,0.021
5,17,7.8,0.025,0.53,6,9.5,2400,97,0.021
5,18,7.8,0.025,0.53,6,9,2400,97,0.021
6,1,8.8,0.025,0.53,6,9.8,2400,97,0.021
6,2,8.4,0.025,0.53,6,8.4,2400,97,0.021
6,4,8.7,0.025,0.53,6,7.9,2400,97,0.021
6,5,8.3,0.025,0.53,6,8.2,2400,97,0.021
6,8,8.4,0.025,0.53,6,9,2400,97,0.021
6,15,8.6,0.025,0.53,6,8.8,2400,97,0.021
6,16,8.2,0.025,0.53,6,8.8,2400,97,0.021
6,17,8.4,0.025,0.53,6,8.9,2400,97,0.021
6,18,8.7,0.025,0.53,6,7.9,2400,97,0.021
7,1,8.4,0.025,1.51,6,7.6,2400,97,0.021
7,5,8.3,0.025,0.71,6,12.8,2400,97,0.021
7,17,8.5,0.025,0.53,7,10.2,2400,97,0.016
7,18,8.6,0.025,0.52,7,10.6,2400,97,0.009
8,2,8.3,0.025,0.388,7,7.2,2400,97,0.009
8,4,9,0.025,0.388,7,11.3,2400,97,0.009
9,1,8.5,0.025,0.388,7,5.8,2400,97,0.009
9,2,8.7,0.025,0.388,7,8.6,2400,97,0.009
9,4,8.4,0.025,0.388,7,7.1,2400,97,0.009
9,5,7.8,0.025,0.388,7,6.9,2400,97,0.009
9,15,8.6,0.025,0.388,7,9.6,2400,97,0.009
9,17,7.8,0.025,0.388,7,8,2400,97,0.009
9,18,8.8,0.025,0.388,7,8.6,2400,97,0.009
10,1,8.4,0.025,0.388,2,7.6,2400,97,0.009
10,2,8,0.025,0.388,2,6.1,2400,97,0.009
10,4,8.2,0.025,0.388,3,7.4,2400,97,0.009
10,5,7.6,0.025,0.388,4,5.3,2400,97,0.009
10,8,8.1,0.025,0.388,2,7.6,2400,97,0.009
10,15,8,0.025,0.388,3,7,2400,97,0.009
10,16,8.7,0.025,0.388,3,8.3,2400,97,0.009
