month,station,pH,ammonia,inorganic_phosphate,BOD,dissolved_oxygen,fecal_coliforms,wqi,nitrate
1,17,8.5,0.025,0.034,6,9.6,2400,97,0.138
2,1,8.5,0.025,0.021,6,8.2,2400,97,0.53
2,2,8.4,0.025,0.021,6,8.3,2400,97,0.53
2,4,8.2,0.025,0.021,6,8.7,2400,97,0.53
2,5,8.5,0.025,0.021,6,8.4,2400,97,0.53
2,8,8.3,0.025,0.021,6,8,2400,97,0.53
2,15,8.6,0.025,0.021,6,8.4,2400,97,0.53
2,16,8.6,0.025,0.021,6,8.2,2400,97,0.53
2,17,8.5,0.025,0.021,6,8.8,2400,97,0.53
2,18,8.4,0.025,0.021,6,8.6,2400,97,0.53
3,1,7.9,0.025,0.021,6,8.5,2400,97,0.53
3,2,8,0.025,0.021,6,7.5,2400,97,0.53
3,4,7.9,0.025,0.021,6,8.2,2400,97,0.53
3,5,7.9,0.025,0.021,6,7.7,2400,97,0.53
3,8,7.8,0.025,0.021,6,7.6,2400,97,0.53
3,15,8.3,0.025,0.021,6,8.5,2400,97,0.53
3,16,8.2,0.025,0.021,6,8.7,2400,97,0.53
3,17,8.2,0.025,0.021,6,8.4,2400,97,0.53
5,1,7.4,0.025,0.021,6,9.3,2400,97,0.53
5,2,7.6,0.025,0.021,6,8.8,2400,97,0.53
5,4,7.9,0.025,0.021,6,9.2,2400,97,0.53
5,5,7.9,0.025,0.021,6,11.5,2400,97,0.53
5,8,7.9,0.025,0.021,6,9.2,2400,97,0.53
5,15,7.7,0.025,0.021,6,9.2,2400,97,0.53
5,16,7.5,0.025,0.021,6,10.3,2400,97,0.53
5,17,7.8,0.025,0.021,6,9.5,2400,97,0.53
5,18,7.8,0.025,0.021,6,9,2400,97,0.53
6,1,8.8,0.025,0.021,6,9.8,2400,97,0.53
6,2,8.4,0.025,0.021,6,8.4,2400,97,0.53
6,4,8.7,0.025,0.021,6,7.9,2400,97,0.53
6,5,8.3,0.025,0.021,6,8.2,2400,97,0.53
6,8,8.4,0.025,0.021,6,9,2400,97,0.53
6,15,8.6,0.025,0.021,6,8.8,2400,97,0.53
6,16,8.2,0.025,0.021,6,8.8,2400,97,0.53
6,17,8.4,0.025,0.021,6,8.9,2400,97,0.53
6,18,8.7,0.025,0.021,6,7.9,2400,97,0.53
7,1,8.4,0.025,0.021,6,7.6,2400,97,1.51
7,5,8.3,0.025,0.021,6,12.8,2400,97,0.71
7,17,8.5,0.025,0.016,7,10.2,2400,97,0.53
7,18,8.6,0.025,0.009,7,10.6,2400,97,0.52
8,2,8.3,0.025,0.009,7,7.2,2400,97,0.388
8,4,9,0.025,0.009,7,11.3,2400,97,0.388
9,1,8.5,0.025,0.009,7,5.8,2400,97,0.388
9,2,8.7,0.025,0.009,7,8.6,2400,97,0.388
9,4,8.4,0.025,0.009,7,7.1,2400,97,0.388
9,5,7.8,0.025,0.009,7,6.9,2400,97,0.388
9,15,8.6,0.025,0.009,7,9.6,2400,97,0.388
9,17,7.8,0.025,0.009,7,8,2400,97,0.388
9,18,8.8,0.025,0.009,7,8.6,2400,97,0.388
