month,station,ammonia,nitrate,inorganic_phosphate,BOD,dissolved_oxygen,fecal_coliforms,wqi,pH
1,17,0.025,0.138,0.034,6,9.6,2400,97,8.5
2,1,0.025,0.53,0.021,6,8.2,2400,97,8.5
2,2,0.025,0.53,0.021,6,8.3,2400,97,8.4
2,4,0.025,0.53,0.021,6,8.7,2400,97,8.2
2,5,0.025,0.53,0.021,6,8.4,2400,97,8.5
2,8,0.025,0.53,0.021,6,8,2400,97,8.3
2,15,0.025,0.53,0.021,6,8.4,2400,97,8.6
2,16,0.025,0.53,0.021,6,8.2,2400,97,8.6
2,17,0.025,0.53,0.021,6,8.8,2400,97,8.5
2,18,0.025,0.53,0.021,6,8.6,2400,97,8.4
3,1,0.025,0.53,0.021,6,8.5,2400,97,7.9
3,2,0.025,0.53,0.021,6,7.5,2400,97,8
3,4,0.025,0.53,0.021,6,8.2,2400,97,7.9
3,5,0.025,0.53,0.021,6,7.7,2400,97,7.9
3,8,0.025,0.53,0.021,6,7.6,2400,97,7.8
3,15,0.025,0.53,0.021,6,8.5,2400,97,8.3
3,16,0.025,0.53,0.021,6,8.7,2400,97,8.2
3,17,0.025,0.53,0.021,6,8.4,2400,97,8.2
5,1,0.025,0.53,0.021,6,9.3,2400,97,7.4
5,2,0.025,0.53,0.021,6,8.8,2400,97,7.6
5,4,0.025,0.53,0.021,6,9.2,2400,97,7.9
5,5,0.025,0.53,0.021,6,11.5,2400,97,7.9
5,8,0.025,0.53,0.021,6,9.2,2400,97,7.9
5,15,0.025,0.53,0.021,6,9.2,2400,97,7.7
5,16,0.025,0.53,0.021,6,10.3,2400,97,7.5
5,17,0.025,0.53,0.021,6,9.5,2400,97,7.8
5,18,0.025,0.53,0.021,6,9,2400,97,7.8
6,1,0.025,0.53,0.021,6,9.8,2400,97,8.8
6,2,0.025,0.53,0.021,6,8.4,2400,97,8.4
6,4,0.025,0.53,0.021,6,7.9,2400,97,8.7
6,5,0.025,0.53,0.021,6,8.2,2400,97,8.3
6,8,0.025,0.53,0.021,6,9,2400,97,8.4
6,15,0.025,0.53,0.021,6,8.8,2400,97,8.6
6,16,0.025,0.53,0.021,6,8.8,2400,97,8.2
6,17,0.025,0.53,0.021,6,8.9,2400,97,8.4
6,18,0.025,0.53,0.021,6,7.9,2400,97,8.7
7,1,0.025,1.51,0.021,6,7.6,2400,97,8.4
7,5,0.025,0.71,0.021,6,12.8,2400,97,8.3
7,17,0.025,0.53,0.016,7,10.2,2400,97,8.5
7,18,0.025,0.52,0.009,7,10.6,2400,97,8.6
8,2,0.025,0.388,0.009,7,7.2,2400,97,8.3
8,4,0.025,0.388,0.009,7,11.3,2400,97,9
9,1,0.025,0.388,0.009,7,5.8,2400,97,8.5
9,2,0.025,0.388,0.009,7,8.6,2400,97,8.7
9,4,0.025,0.388,0.009,7,7.1,2400,97,8.4
9,5,0.025,0.388,0.009,7,6.9,2400,97,7.8
9,15,0.025,0.388,0.009,7,9.6,2400,97,8.6
9,17,0.025,0.388,0.009,7,8,2400,97,7.8
9,18,0.025,0.388,0.009,7,8.6,2400,97,8.8
10,1,0.025,0.388,0.009,2,7.6,2400,97,8.4
10,2,0.025,0.388,0.009,2,6.1,2400,97,8
10,4,0.025,0.388,0.009,3,7.4,2400,97,8.2
10,5,0.025,0.388,0.009,4,5.3,2400,97,7.6
10,8,0.025,0.388,0.009,2,7.6,2400,97,8.1
10,15,0.025,0.388,0.009,3,7,2400,97,8
10,16,0.025,0.388,0.009,3,8.3,2400,97,8.7
10,17,0.025,0.388,0.009,3,7.7,2400,97,8.2
10,18,0.025,0.388,0.009,4,7,2400,97,7.9
11,5,0.025,0.388,0.017,2,6.5,2400,97,7.8
12,5,0.025,0.203,0.066,3,8.5,2400,97,8.5
1,1,0.025,0.203,0.005,2,7.5,2400,97,7.3
1,2,0.025,0.203,0.005,1,7.2,2400,97,8.2
1,4,0.025,0.203,0.005,2,7.2,1600,97,7.8
1,8,0.025,0.203,0.005,1,6.8,2400,97,7.7
1,15,0.025,0.203,0.005,2,8.7,2400,97,8.3
1,16,0.025,0.203,0.005,2,8.4,2400,97,8.8
1,17,0.025,0.203,0.005,2,7.7,2400,97,7.9
1,18,0.025,0.203,0.005,1,7.6,3500,97,8
8,17,0.025,0.037,0.005,2,7.3,3500,97,8.9
8,18,0.256,0.041,0.001,3,6.7,3500,97,8.9
10,18,0.1,0.036,0.021,1,9.3,3500,97,9
3,18,0.25,0.001,0.023,2,9.4,3500,97,8.3
10,18,0.03,0.001,0.036,3,8.5,3500,97,8
11,18,0.021,0.06,0.02,1,8.5,3500,97,8.1
1,1,0.057,0.159,0.115,6,8.6,410,75,8.5
1,2,0.057,0.166,0.114,6,7.9,410,75,8.3
1,4,0.057,0.181,0.08,6,8.3,410,75,8.4
1,5,0.057,0.179,0.096,6,8.9,410,75,8.6
1,8,0.057,0.192,0.096,6,8.2,410,75,8.3
1,15,0.057,0.153,0.118,6,8.7,410,75,8.6
1,16,0.057,0.164,0.097,6,9.4,410,75,8.6
1,18,0.057,0.167,0.102,6,8.7,410,75,8.4
4,4,0.057,2.054,0.18,6,7.1,410,75,7.8
4,8,0.057,1.385,0.12,7,8.1,410,75,7.9
7,4,0.057,0.37,0.088,7,11.7,410,75,9.3
7,15,0.057,0.73,0.055,8,8.6,410,75,8.3
11,1,0.057,1.066,0.157,2,6.8,410,75,7.9
11,4,0.057,0.784,0.144,2,6.7,410,75,7.8
11,15,0.057,0.539,0.127,2,6.5,410,75,7.8
11,17,0.057,0.474,0.123,2,7,410,75,7.8
12,1,0.057,0.466,0.068,2,8.5,410,75,8.4
12,4,0.057,0.457,0.084,3,7.2,410,75,8.4
12,15,0.057,0.293,0.069,3,7.8,410,75,8.5
12,17,0.057,0.366,0.042,2,7.7,410,75,8.8
2,2,0.057,0.357,0.059,2,7.9,410,75,8
2,16,0.008,0.285,0.04,2,8.3,639,75,8.2
2,18,0.024,0.283,0.056,2,8.3,401,75,8.1
3,1,0.045,0.308,0.021,1,7.6,678,75,8
3,2,0.264,0.176,0.004,1,8.4,333,75,8.3
3,4,0.019,0.355,0.006,1,8.3,457,75,8.1
3,5,0.133,0.103,0.004,1,7.6,357,75,8
3,8,0.22,0.204,0.001,1,8,672,75,7.8
3,15,0.169,0.352,0.03,1,7.6,485,75,8.1
4,1,0.152,0.065,0.125,1,8.6,144,75,6.7
4,4,0.129,0.039,0.104,1,8.6,125,75,8.7
